x,y,time
13.903126059064817,52.60105024011938,2014-06-04T21:31:00Z
13.90319941516078,52.60122196236331,2014-06-04T22:01:00Z
13.903968317504416,52.600811701609544,2014-06-04T22:31:00Z
13.904733725249374,52.60040386323681,2014-06-04T23:01:00Z
13.90489275511428,52.60038745154611,2014-06-04T23:31:00Z
13.90505188928341,52.60037072987414,2014-06-05T00:01:00Z
13.905140511339432,52.60032314223116,2014-06-05T00:31:00Z
13.905223707210485,52.60027742842898,2014-06-05T01:01:00Z
13.905097600295726,52.60030532563988,2014-06-05T01:31:00Z
13.904974021680482,52.60032530269669,2014-06-05T02:01:00Z
13.905104449453768,52.59966553373242,2014-06-05T02:31:00Z
13.905233760974557,52.5990115229637,2014-06-05T03:01:00Z
13.905241077917822,52.59899027860757,2014-06-05T03:31:00Z
13.905248820175737,52.59896643516273,2014-06-05T04:01:00Z
13.905272571519596,52.59884522862525,2014-06-05T04:31:00Z
13.90529310837954,52.59872911428824,2014-06-05T05:01:00Z
13.905191696967076,52.598804021174196,2014-06-05T05:31:00Z
13.905090773668427,52.59887853563113,2014-06-05T06:01:00Z
13.905063613869672,52.59889481136355,2014-06-05T06:31:00Z
13.9050176539308,52.59892177775085,2014-06-05T07:01:00Z
13.904285702016832,52.59933721361251,2014-06-05T07:31:00Z
13.90500626695777,52.598852166314,2014-06-05T08:01:00Z
13.90511702447593,52.598917815211664,2014-06-05T08:31:00Z
13.905002359248295,52.59888418136938,2014-06-05T09:01:00Z
13.905026957662018,52.59887171243109,2014-06-05T09:31:00Z
13.905068598787409,52.59890816460582,2014-06-05T10:01:00Z
13.905020668494867,52.59887101435846,2014-06-05T10:31:00Z
13.905069254560543,52.59888689811823,2014-06-05T11:01:00Z
13.904987463545712,52.598883510914284,2014-06-05T11:31:00Z
13.905030269155647,52.59881102428281,2014-06-05T12:01:00Z
13.905026240175955,52.59884855193061,2014-06-05T12:31:00Z
13.9049834491365,52.59872652757529,2014-06-05T13:01:00Z
13.90495594301354,52.59874151704584,2014-06-05T13:31:00Z
13.904976544344617,52.59870380412344,2014-06-05T14:01:00Z
13.904926696617796,52.59874794071123,2014-06-05T14:31:00Z
13.904937832548281,52.59874358540108,2014-06-05T15:01:00Z
13.905222018443942,52.598806200745926,2014-06-05T15:31:00Z
13.90528748530532,52.59894931207607,2014-06-05T16:01:00Z
13.905286889792613,52.59896738029793,2014-06-05T16:31:00Z
13.905248499644298,52.59901315899103,2014-06-05T17:01:00Z
13.905278241135882,52.598995345139656,2014-06-05T17:31:00Z
13.90494286391581,52.59892715576986,2014-06-05T18:01:00Z
13.905172827437594,52.5990019617666,2014-06-05T18:31:00Z
13.905127806059648,52.59893515264446,2014-06-05T19:01:00Z
13.90360949414368,52.5994047101042,2014-06-05T19:31:00Z
13.902744047384001,52.598519039399626,2014-06-05T20:01:00Z
13.90372524358013,52.60033525543819,2014-06-05T20:31:00Z
13.904047212805397,52.60038045076328,2014-06-05T21:01:00Z
13.903939048362552,52.59997430220107,2014-06-05T21:31:00Z
13.902746537941805,52.59802645154511,2014-06-05T22:01:00Z
13.903872375189296,52.59597520968294,2014-06-05T22:31:00Z
13.90391689948553,52.59600841216395,2014-06-05T23:01:00Z
13.905189880772154,52.59641783093967,2014-06-05T23:31:00Z
13.906216335678879,52.595664062717155,2014-06-06T00:01:00Z
13.905896510669342,52.59571622642855,2014-06-06T00:31:00Z
13.907635106830762,52.59620423206656,2014-06-06T01:01:00Z
13.909603951103616,52.596748063529326,2014-06-06T01:31:00Z
13.91120838588199,52.59620538715746,2014-06-06T02:01:00Z
13.911110921276832,52.59614657328048,2014-06-06T02:31:00Z
13.911027680731005,52.59619846411482,2014-06-06T03:01:00Z
13.91109942862476,52.596229322233,2014-06-06T03:31:00Z
13.911029909867544,52.59623908254878,2014-06-06T04:01:00Z
13.911043000748153,52.59601636297683,2014-06-06T04:31:00Z
13.910968112025996,52.596099281199486,2014-06-06T05:01:00Z
13.911342350705024,52.596719214349434,2014-06-06T05:31:00Z
13.911819089061375,52.59590189941536,2014-06-06T06:01:00Z
13.911465068176165,52.59637804341769,2014-06-06T06:31:00Z
13.910796346333923,52.595924335519406,2014-06-06T07:01:00Z
13.910524929170563,52.595514210514125,2014-06-06T07:31:00Z
13.90846107362486,52.595844789648766,2014-06-06T08:01:00Z
13.908427217475271,52.59580817666793,2014-06-06T08:31:00Z
13.908646986511936,52.59580217652115,2014-06-06T09:01:00Z
13.908866755488551,52.5957961759666,2014-06-06T09:31:00Z
13.908418686862218,52.59601000230147,2014-06-06T10:01:00Z
13.908298656262334,52.59605478477032,2014-06-06T10:31:00Z
13.908237452564084,52.595815614255784,2014-06-06T11:01:00Z
13.908417059307052,52.59577023199403,2014-06-06T11:31:00Z
13.90903913427907,52.595810397526826,2014-06-06T12:01:00Z
13.909237313634513,52.59586052638672,2014-06-06T12:31:00Z
13.90922596861206,52.595602307846775,2014-06-06T13:01:00Z
13.909146327042937,52.59556463875796,2014-06-06T13:31:00Z
13.909293090240057,52.595605121606816,2014-06-06T14:01:00Z
13.90875257850157,52.59520920540328,2014-06-06T14:31:00Z
13.90912206145025,52.59561217102759,2014-06-06T15:01:00Z
13.909269314362247,52.59558965197165,2014-06-06T15:31:00Z
13.90915658524693,52.595856688481874,2014-06-06T16:01:00Z
13.909063255168096,52.59582009608315,2014-06-06T16:31:00Z
13.909252165850502,52.59576042549707,2014-06-06T17:01:00Z
13.909057471422972,52.595694456349406,2014-06-06T17:31:00Z
13.90922122415244,52.59579357516555,2014-06-06T18:01:00Z
